sub,name,category,city,state,country,lat,lon,review_count,rating
"geo:-16.5252003,-68.1551733?u=50&q=Bazar%20Librer%C3%ADa%20Andre%20-%20Fotocopias",Bazar%20Librer%C3%ADa%20Andre%20-%20Fotocopias,not_defined,not_defined,not_defined,not_defined,-16.5252003,-68.1551733,1,100.0
"geo:-34.0378415,18.3474077?q=Pondicherry&u=30",Pondicherry,hamlet,not_defined,Western Cape,South Africa,-34.0378415,18.3474077,1,50.0
"geo:-34.4698592,-57.8433679?q=Colonia del Sacramento&u=30",Colonia del Sacramento,administrative,Colonia del Sacramento,Colonia,Uruguay,-34.4698592,-57.8433679,1,75.0
"geo:-34.5940268,-58.4469043?q=Bohemios&u=30",Bohemios,restaurant,Autonomous City of Buenos Aires,not_defined,Argentina,-34.5940268,-58.4469043,1,75.0
"geo:-41.0757505,-71.4764209?q=Cerro Campanario&u=30",Cerro Campanario,peak,San Carlos de Bariloche,Río Negro Province,Argentina,-41.0757505,-71.4764209,1,100.0
"geo:-41.1350512,-71.2935964?q=La Fonda del Tío&u=30",La Fonda del Tío,restaurant,San Carlos de Bariloche,Río Negro Province,Argentina,-41.1350512,-71.2935964,1,75.0
"geo:-41.1982502,-71.4862753?q=Refugio Emilio Frey&u=30",Refugio Emilio Frey,shelter,not_defined,Río Negro Province,Argentina,-41.1982502,-71.4862753,1,100.0
"geo:10.4434769,-3.1266648?q=Hello&u=30",Hello,village,not_defined,not_defined,Burkina Faso,10.4434769,-3.1266648,1,100.0
"geo:10.91564885,79.80694879844232?q=undefined&u=30",undefined,not_defined,not_defined,not_defined,not_defined,10.91564885,79.80694879844232,1,25.0
"geo:3.22000,51.21576?q=Pietervdvn Software Consultancy&u=15",Pietervdvn Software Consultancy,not_defined,not_defined,not_defined,not_defined,3.22,51.21576,1,75.0
"geo:30.09509695,-90.43635883183157?q=Cajun Pride Swamp Tours&u=30",Cajun Pride Swamp Tours,theme_park,not_defined,Louisiana,United States,30.09509695,-90.43635883183155,1,100.0
"geo:37.0078257,-8.9425252?q=Laundry Lounge Sagres&u=30",Laundry Lounge Sagres,cafe,Sagres,not_defined,Portugal,37.0078257,-8.9425252,3,91.66666666666669
"geo:39.9323304,-74.07727?u=50&q=7-Eleven",7-Eleven,convenience,not_defined,New Jersey,United States,39.9323304,-74.07727,1,100.0
"geo:39.96593065,-74.20531445?u=50&q=Shoprite",Shoprite,supermarket,Toms River,New Jersey,United States,39.96593065,-74.20531445,1,100.0
"geo:39.97597545,-74.24284335?u=50&q=Matt%20Blatt%20Kia%20of%20Toms%20River",Matt%20Blatt%20Kia%20of%20Toms%20River,not_defined,not_defined,not_defined,not_defined,39.97597545,-74.24284335,1,20.0
"geo:41.27093502177152,-7.6744642041057896?u=50&q=ahoxus",ahoxus,caravan_site,Vila Real,not_defined,Portugal,41.27093502177152,-7.674464204105789,1,100.0
"geo:41.2989902,-7.7509509?q=Restaurante Golden Wok&u=30",Restaurante Golden Wok,restaurant,Vila Real,not_defined,Portugal,41.2989902,-7.7509509,1,100.0
"geo:42.4589465,14.2229986?q=Pooka&u=30",Pooka,pub,Pescara,Abruzzo,Italy,42.4589465,14.2229986,1,100.0
