sub,opinion
"geo:-16.5252003,-68.1551733?u=50&q=Bazar%20Librer%C3%ADa%20Andre%20-%20Fotocopias",nan
"geo:-34.0378415,18.3474077?q=Pondicherry&u=30",nan
"geo:-34.4698592,-57.8433679?q=Colonia del Sacramento&u=30","If you are in Buenos Aires and want to get away from all the noise, this small town is the perfect place for a day of relax and history. Disputed between the Spanish and Portuguese Crowns until almost the end of the XVIII century, it is the perfect plan for a day (by boat from Bs As or car/bus from Montevideo), where you can see the colonial architecture and enjoy the food and the sun. Make sure to check the Raddisson Hotel's pool if it is too warm! :D"
"geo:-34.5940268,-58.4469043?q=Bohemios&u=30","Almost all soccer clubs in Buenos Aires have restaurants: this is the typical Neighbourhood club restaurant in the city, where you will be able to grasp the neighbourhood culture and how much people care about their sports club - especially if they play soccer there! great food! good quality and very friendly staff! 

Not so good if you don't eat meat: they do not have so many options for vegetarians.  "
"geo:-41.0757505,-71.4764209?q=Cerro Campanario&u=30","Definitely one of the best views in Bariloche, you can reach the top of cerro Campanario either by foot (easy level hike) or cablecar - the ticket is around 3 EUR. Definetely worth it if you want to check the lakes around Bariloche and get an idea of the extension of The Andes. 

The Cerro is right at the start of ""Circuito Chico"": a 24km road through mountains full of hiking trails. So a good idea is always to wake up early, get to the top fo the mountain, and at around 11am start the Circuito."
"geo:-41.1350512,-71.2935964?q=La Fonda del Tío&u=30","Great place to try good plates that combines the best of Argentinian and Italian food tradition - good environment and really cheap. Try the ""milanesa"" if you eat meat and the ""canelones"" if you are a vegetarian. After 9pm you will need to queue, so make sure to either book in advance or go beforehand - and be careful: the sizes are really big! you can definitely share a portion.

Great for groups, families and friends, if you are looking for something romantic this is not the place to go.
"
"geo:-41.1982502,-71.4862753?q=Refugio Emilio Frey&u=30","Cool shelter located 1700mts high on the top of Cerro Catedral with an amazing 12km hike passing through forests, hills, and cliffs with the flowers and clear water. It has it all for the beginner hikers. Great in Spring/Summer seasons, when you can see the forest in between at its best. Make sure to take water and a walking stick along with some snacks for the way. The last hour can be tricky, as it is super steep. Wanna sleep/camp there? book in advance: http://refugiofreybariloche.com/"
"geo:10.4434769,-3.1266648?q=Hello&u=30",Great!
"geo:10.91564885,79.80694879844232?q=undefined&u=30",nan
"geo:3.22000,51.21576?q=Pietervdvn Software Consultancy&u=15",Great website to be used as an example.
"geo:30.09509695,-90.43635883183157?q=Cajun Pride Swamp Tours&u=30","The guide was extremely knowledgeable, friendly, and also quite funny. At one point, we got to see twelve alligators coming up to the boat all at once, as well as an alligator that was 11 feet long."
